Researcher,Affiliation,Companies
"Batalla, Luis Díaz","Agroindustry Engineering, Universidad Politécnica de Francisco I. Madero, Tepatepec, Mexico",['Consejo Nacional de Ciencia y Tecnología [Unknown]']
"Batchelor, Heidi","Scripps Institution of Oceanography, La Jolla, California 92037, United States","['Office of Marine and Aviation Operations [Unknown]', 'Office of Naval Research [Unknown]', 'Schmidt Ocean Institute [Unknown]']"
"Bate, Bate","Key Laboratory of Soft Soils and Geoenvironmental Engineering of the Ministry of Education, Zhejiang University, Hangzhou, People’s Republic of China; Institute of Geotechnical Engineering, Zhejiang University, Hangzhou, People’s Republic of China","['National Natural Science Foundation of China [Foundation]', 'National Science and Technology Major Project [Unknown]']"
"Bateman McDonald, Jacob M.","Institute for Environmental and Spatial Analysis, Watkins Academic Building, University of North Georgia, 3820 Mundy Mill Road, Gainesville, Georgia 30503-1358, United States",['Not Found [Unknown]']
"Bates, Dain","Idaho Power Company, Boise, Idaho 83702, United States","['Department of Environmental Quality [Government]', 'U.S. Geological Survey [Unknown]', 'Idaho Power Company [Company]']"
"Bates, Josephine T.","Ramboll, 1600 Parkwood Circle SE # 310, Atlanta, Georgia 30339, United States","['Texas Commission on Environmental Quality [Unknown]', 'University of Texas at Austin [University]']"
"Bates, Kelvin H.","Department of Environmental Toxicology, University of California Davis, Davis, California 95616, United States; Center for the Environment, Harvard University, Cambridge, Massachusetts 02138, United States","['National Institute of Food and Agriculture [University]', 'National Science Foundation [Foundation]']"
"Bates, Kelvin H.","John A. Paulson School of Engineering and Applied Sciences; Harvard University; NOAA Chemical Sciences Laboratory, Earth System Research Laboratories, & Cooperative Institute for Research in Environmental Sciences; University of Colorado","['Belgian Federal Science Policy Office [Unknown]', 'European Space Agency [Unknown]', 'National Aeronautics and Space Administration [Unknown]', 'Fonds De La Recherche Scientifique - FNRS [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Chinese University of Hong Kong [University]', 'Harvard-NUIST Joint Laboratory for Air Quality and Climate [Unknown]']"
"Bates, Kelvin H.","NOAA Chemical Sciences Laboratory, Earth System Research Laboratories & Cooperative Institute for Research in Environmental Sciences, University of Colorado, Boulder, Colorado 80305, United States","['Alfred P. Sloan Foundation [Foundation]', 'Villum Fonden [Unknown]']"
"Batista-Andrade, Jahir A.","Department of Chemical, Biochemical, and Environmental Engineering, University of Maryland Baltimore County, 1000 Hilltop Circle, Engineering 314, Baltimore, Maryland 21250, United States","['Biological and Environmental Research [Unknown]', 'Division of Earth Sciences [Unknown]', 'Sistema Nacional de Investigaci?n, Secretar?a Nacional de Ciencia, Tecnolog?a e Innovaci?n [Unknown]', 'Fulbright Program [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]']"
"Batista-Barwinski, Marina J.","Laboratório de Química, Instituto Federal Catarinense – Campus Camboriú, Camboriú, Brazil",['Not Found [Unknown]']
"Batista, Carla E.","School of Technology, Amazonas State University, Manaus, Amazonas 69065-020, Brazil; Post-Graduate Program in Climate and Environment, National Institute of Amazonian Research, Manaus, Amazonas 69060-001, Brazil","['Harvard University [University]', 'Funda??o de Amparo ? Pesquisa do Estado do Amazonas [Unknown]', 'Camille and Henry Dreyfus Foundation [Foundation]', 'Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico [Unknown]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Coordena??o de Aperfei?oamento de Pessoal de N?vel Superior [Unknown]']"
"Batista, K. A.","Department of Mineral Technology, Center for the Development of Nuclear Technology (CDTN), Belo Horizonte, Brazil","['CNPq [Unknown]', 'Comissão Nacional de Energia Nuclear [Unknown]', 'Coordenação de Aperfeiçoamento de Pessoal de Nível Superior [Unknown]', 'Financiadora de Estudos e Projetos [Unknown]', 'Fundação de Amparo à Pesquisa do Estado de Minas Gerais [Unknown]']"
"Batista, Marylia Duarte","Building Energy and Environment Division, National Institute of Standards and Technology, Gaithersburg, Maryland 20899, United States","['National Institute of Standards and Technology [University]', 'U.S. Environmental Protection Agency [Government]', 'National Science Foundation [Foundation]', 'Environmental Science, Policy and Research Institute [Unknown]']"
"Batt, Angela L.","U.S. Environmental Protection Agency, Office of Research and Development, Center for Environmental Solutions and Emergency Response, Cincinnati, Ohio 45268, United States","['U.S. Environmental Protection Agency [Government]', 'U.S. Geological Survey [Unknown]']"
"Batt, John","Joint Laboratory for Ocean Research and Education (LORE) of Dalhousie University, Canada, and Shandong University and Xiamen University, Xiamen361102, China; Department of Oceanography, Dalhousie University, Halifax, Nova ScotiaB3H 4R2, Canada",['National Natural Science Foundation of China [Foundation]']
"Battaglia, Michael","School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, Georgia 30332, United States","['National Aeronautics and Space Administration [Unknown]', 'H2020 European Research Council [Unknown]', 'National Science Foundation [Foundation]']"
"Battagliarin, Glauco","BASF SE, Carl-Bosch-Str. 38, 67056 Ludwigshafen, Germany",['Bundesministerium für Bildung und Forschung [Unknown]']
"Battagliarin, Glauco","BASF SE, Ludwigshafen am Rhein 67056, Germany",['BASF [Unknown]']
"Battaglin, William A.","U.S. Geological Survey, Colorado Water Science Center, Denver, Colorado 80225, United States",['U.S. Environmental Protection Agency [Government]']
"Battifarano, Matthew","Department of Civil and Environmental Engineering, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213, United States","['Army Research Office [Unknown]', 'Army Research Office [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
"Battistel, Maria","Department of Environmental Engineering, Technical University of Denmark, Lyngby 2800, Denmark","['Det Frie Forskningsr?d [Unknown]', 'Villum Fonden [Unknown]']"
"Battu, Anil K.","Earth and Biological Sciences Directorate, Pacific Northwest National Laboratory, Richland, Washington 99352, United States","['National Institute of Food and Agriculture [University]', 'State of Washington Water Research Center [Unknown]', 'U.S. Department of Energy [Government]', 'Office of Fossil Energy and Carbon Management [Unknown]']"
"Batur, Ebru","Department of Chemical Engineering, Siirt University, Siirt, Turkey",['Not Found [Unknown]']
"Bauda, Pascale","Université de Lorraine, CNRS, LIEC, Metz, France",['Not Found [Unknown]']
"Baudena, Alberto","Sorbonne Université, CNRS, Laboratoire d’Océanographie de Villefranche, UMR 7093 LOV, Villefranche-sur-Mer 06230, France","['Agence Nationale de la Recherche [Unknown]', 'H2020 Environment [Unknown]', 'Fondation Tara Océan [Unknown]', 'Prince Albert II of Monaco Foundation [Foundation]']"
"Baudic, Alexia","Association de Surveillance de la Qualité de l’Air en Île-de-France (AIRPARIF), 75004 Paris, France","['H2020 Environment [Unknown]', 'CarboCount City project [Unknown]', 'Make Our Planet Great Again [Unknown]']"
"Baudrimont, Isabelle","Université de Bordeaux, Centre de Recherche Cardio-Thoracique de Bordeaux U1045, F-33604 Pessac, France","[""Agence de l'Environnement et de la Ma?trise de l'Energie [Unknown]"", 'Agence Nationale de S?curit? Sanitaire de l?Alimentation, de l?Environnement et du Travail [Unknown]']"
"Baudrimont, Magalie","EPOC, UMR5805, CNRS/Université de Bordeaux, Bordeaux 33000, France",['Agence Nationale de la Recherche [Unknown]']
"Baudy, Patrick","iES Landau, Institute for Environmental Sciences, University of Koblenz-Landau, Fortstraße 7, D-76829 Landau, Germany",['Not Found [Unknown]']
"Bauer, Christian","= Technology Assessment Group, Laboratory for Energy Systems Analysis, Paul Scherrer Institut, 5232 Villigen, Switzerland","['H2020 Environment [Unknown]', 'Kommission f?r Technologie und Innovation [Unknown]', 'Innosuisse - Schweizerische Agentur f?r Innovationsf?rderung [Government]']"
"Bauer, Christian","Laboratory for Energy Systems Analysis, Paul Scherrer Institute, CH-5232 Villigen, Switzerland","['Wallonie-Bruxelles International [Unknown]', 'Kommission f?r Technologie und Innovation [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Bundesministerium f??r Bildung und Forschung [Unknown]', 'Bundesamt f??r Energie [Unknown]', 'Department for Business, Energy and Industrial Strategy, UK Government [Government]', 'Paul Scherrer Institut [Unknown]', 'Equinor [Unknown]', 'Bundesministerium f??r Wirtschaft und Energie [Unknown]', 'Total [Unknown]', 'Rijksdienst voor Ondernemend Nederland [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Gassco [Unknown]', 'Gassnova [Unknown]', 'Federal Department of the Environment, Transport, Energy and Communications [Government]']"
"Bauer, Christian","Technology Assessment Group, Laboratory for Energy Systems Analysis, Paul Scherrer Institut, Villigen 5232, Switzerland","['Bundesamt für Energie [Unknown]', 'Board of the Swiss Federal Institutes of Technology [Unknown]']"
"Bauer, Coretta","Department of Analytical Chemistry, Helmholtz Centre for Environmental Research—UFZ, 04318 Leipzig, Germany",['Helmholtz Association [Unknown]']
"Bauer, Franklin J.","KREATiS SAS, 23 rue du Creuzat, ZAC de St-Hubert 38080, L′Isle d′Abeau, France",['Not Found [Unknown]']
"Bauer, Gordon S.","The International Council on Clean Transportation,",['Vehicle Technologies Program [Company]']
"Bauer, Gordon","Energy and Resources Group, University of California Berkeley, Berkeley, California 94720, United States",['Not Found [Unknown]']
"Bauer, Martin","BASE Technologies GmbH, Josef-Felder-Straße 53, Munich D-81241, Germany","['Deutsche Bundesstiftung Umwelt [Unknown]', 'Deutsche Forschungsgemeinschaft [Unknown]']"
"Bauer, Rachel A.","Department of Pharmacology and Toxicology, Department of Food Science, Michigan State University, East Lansing, Michigan 48824, United States","['National Institute of Environmental Health Sciences [University]', 'National Institute of Food and Agriculture [University]', 'U.S. Environmental Protection Agency [Government]', 'National Institute of Environmental Health Sciences [University]', 'North Carolina General Assembly [Unknown]', 'U.S. Environmental Protection Agency [Government]']"
"Baugh, Keri A.","Environmental and Fisheries Sciences Division, Northwest Fisheries Science Center, National Marine Fisheries Service, National Oceanic and Atmospheric Administration, 2725 Montlake Blvd. E., Seattle, Washington 98112, United States","['National Oceanic and Atmospheric Administration [Unknown]', 'Texas Tech University [University]', 'National Institutes of Health [Government]', 'NMFS West Coast Regional Office [Unknown]', 'American Cetacean Society [Unknown]', 'Northwest Fisheries Science Center [Unknown]']"
"Bauguitte, Stéphane",,['Natural Environment Research Council [Unknown]']
"Bauguitte, Stéphane","National Centre for Atmospheric Sciences, FAAM Airborne Laboratory, Cranfield MK43 0AL, U.K.",['Natural Environment Research Council [Unknown]']
"Baum, Marlene","Department of Aquatic Ecotoxicology, Goethe University Frankfurt am Main, Max-von-Laue-Str. 13, Frankfurt am Main 60438, Germany",['Bundesministerium f?r Bildung und Forschung [Unknown]']
"Baumann-Stanzer, Kathrin","GeoSphere Austria, Wien 1190, Austria","['Vetenskapsr?det [Unknown]', 'General Secretariat for Research and Technology [Unknown]', 'Ministerstvo ?kolstv?, Ml?de?e a Telov?chovy [Unknown]', 'Grantov? Agentura Cesk? Republiky [Unknown]', 'Jihomoravsk? centrum pro mezin?rodn? mobilitu [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Eesti Teadusagentuur [Unknown]', 'Norwegian Fram Center [Unknown]', 'Brno City Municipality [Unknown]']"
"Baumann, Karsten","Atmospheric Research & Analysis, Inc., Cary, North Carolina 27513, United States","['Biological and Environmental Research [Unknown]', 'Instituto Nacional de Pesquisas da Amaz?nia [University]', 'Division of Graduate Education [Unknown]', 'Camille and Henry Dreyfus Foundation [Foundation]', 'U.S. Environmental Protection Agency [Government]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'Small Business Innovative Research and Small Business Technology Transfer [Government]', 'Climate Program Office [Unknown]', 'Funda??o de Amparo ? Pesquisa do Estado de S?o Paulo [Unknown]', 'National Science Foundation [Foundation]', 'Universidade do Estado do Amazonia [University]', 'Central Office of the Large Scale Biosphere Atmosphere Experiment in Amazonia [Unknown]']"
"Baumann, Karsten","Department of Environmental Sciences and Engineering, Gillings School of Global Public Health, The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States","['National Oceanic and Atmospheric Administration [Unknown]', 'NSF Major Research Instrumentation (MRI) [Government]', 'NSF CAREER [Government]', 'Environmental Protection Agency STAR [Government]', 'Division of Chemistry [Unknown]', 'Center for Marine Science, University of North Carolina Wilmington [University]', 'Department of Chemistry and Biochemistry, University of North Carolina Wilmington [University]', 'North Carolina General Assembly [Unknown]']"
"Baumann, Lisa A.","University of Heidelberg, Centre for Organismal Studies, Aquatic Ecology and Toxicology, Im Neuenheimer Feld 504, 69120 Heidelberg, Germany; Vrije Universiteit Amsterdam, Amsterdam Institute for Life and Environment, Section Environmental Health & Toxicology, De Boelelaan 1085, 1081 HV Amsterdam, The Netherlands","['Association Nationale de la Recherche et de la Technologie [Unknown]', 'Horizon 2020 Framework Programme [Unknown]']"
"Baumann, Zofia","Department of Marine Sciences, University of Connecticut, Groton, Connecticut 06340, United States","['Division of Ocean Sciences [Unknown]', 'Connecticut Sea Grant, University of Connecticut [University]', 'China Postdoctoral Science Foundation [Foundation]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Laboratory for Earth Surface Processes, Ministry of Education, Peking University [University]']"
"Baumer, Andreas","Department of Cell Toxicology, Helmholtz Centre for Environmental Research−UFZ, 04318 Leipzig, Germany",['Not Found [Unknown]']
"Baumer, Teresa","Glenn T. Seaborg Institute, Physical & Life Sciences Directorate, Lawrence Livermore National Laboratory, L-231, P.O. Box 808, Livermore, California 94550, United States",['Biological and Environmental Research [Unknown]']
"Baumert, Brittney O.","Department of Population and Public Health Sciences, Keck School of Medicine, University of Southern California, Los Angeles, California 90032, United States","['National Institute of Environmental Health Sciences [University]', 'National Cancer Institute [Unknown]', 'European Commission [Unknown]', 'Agencia Estatal de Investigaci?n [Unknown]', 'National Institute of Diabetes and Digestive and Kidney Diseases [University]', 'Ministerio de Ciencia e Innovaci?n [Unknown]', 'California Environmental Protection Agency [Government]', 'U.S. Department of Agriculture [Government]']"
"Baumgartner, Bernhard","Faculty of Physics, University of Vienna, 1090 Vienna, Austria","['Bundesministerium f?r Bildung und Forschung [Unknown]', 'Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]', 'National Institute on Aging [Government]', 'H2020 European Research Council [Unknown]', 'Russian Academy of Sciences [Unknown]', 'Helsingin Yliopisto [Unknown]', 'Wallace Research Foundation [Foundation]']"
"Baumgartner, Jill","Department of Epidemiology, Biostatistics, and Occupational Health, McGill University, Montreal, Quebec H3A 1A3, Canada; Institute for Health and Social Policy, McGill University, Montreal, Quebec H3A 1A3, Canada","['McGill University [University]', 'Trottier Institute for Sustainability in Engineering and Design, McGill University [University]', 'Canadian Institutes of Health Research [Unknown]', 'Wellcome Trust [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Canadian Institutes of Health Research [Unknown]', 'Health Effects Institute [Unknown]']"
"Baumlin, Nathalie",,"['European Commission [Unknown]', 'Bundesamt f?r Umwelt [Unknown]', 'European Association of National Metrology Institutes [Unknown]', 'National Institutes of Health [Government]']"
"Baumlin, Nathalie","Department of Internal Medicine, University of Kansas Medical Center, Kansas City, Kansas 66160, United States","['European Commission [Unknown]', 'Bundesamt f?r Umwelt [Unknown]', 'European Association of National Metrology Institutes [Unknown]', 'National Institutes of Health [Government]']"
"Baun, Anders","Department of Environmental Engineering, Technical University of Denmark, Bygningstorvet Bygning 115, 2800 Kgs. Lyngby, Denmark",['Water Resrach Program [Unknown]']
"Baustert, Paul","Luxembourg Institute of Science and Technology, 5 Avenue des Hauts-Fourneaux, 4362 Esch-sur-Alzette, Luxembourg",['Not Found [Unknown]']
"Bautista, Naim M.","Department of Biological Sciences and Advanced Environmental Research Institute, University of North Texas, Denton, Texas 76203, United States",['Gulf of Mexico Research Initiative [Unknown]']
"Bauwelinck, Mariska","Interface Demography—Department of Sociology, Vrije Universiteit Brussel, Pleinlaan 2, 1050 Brussels, Belgium","['Health Effects Institute [Unknown]', 'China Scholarship Council [Unknown]']"
"Baveco, Hans","Wageningen Environmental Research, P.O. Box 47, 6700AA Wageningen, The Netherlands","['Bayer [Unknown]', 'Ministerie van Landbouw, Natuur en Voedselkwaliteit [Unknown]']"
"Baveye, Philippe C.","Saint Loup Research Institute, 79600 Saint Loup Lamairé, France","['Ministerio de Ciencia e Innovaci?n [Unknown]', 'H2020 Marie Sklodowska-Curie Actions [Unknown]']"
"Bawa, Nancy",,['Not Found [Unknown]']
"Bawa, Nancy","Department of Chemical Engineering and Applied Chemistry, University of Toronto, 200 College Street, Toronto, Ontario M5S 3E5, Canada","['Genome Canada [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Ministry of Research and Innovation [Government]']"
"Baxter, Jason B.","Department of Chemical and Biological Engineering, Drexel University, Philadelphia, Pennsylvania 19104, United States",['National Science Foundation [Foundation]']
"Bayat, Sam","Department of Pulmonology and Physiology, CHU Grenoble Alpes, 38700 Grenoble, France; Grenoble Alpes University - Inserm UA07, 38400 Grenoble, France","['Agence Nationale de la Recherche [Unknown]', 'European Research Council [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'Cancer Research Foundation [Foundation]', 'Seventh Framework Programme [Unknown]', ""Agence Nationale de S?curit? Sanitaire de l'Alimentation, de l'Environnement et du Travail [Unknown]""]"
"Baye, Kaleab","Center for Food Science and Nutrition, College of Natural and Computational Sciences, Addis Ababa University, Addis Ababa 1176, Ethiopia","['University of Michigan [University]', 'National Science Foundation [Foundation]']"
"Bayen, Stéphane","Department of Food Science and Agricultural Chemistry, McGill University, 21111 Lakeshore Road, Ste-Anne-de-Bellevue, QC H9X 3 V9, Canada","['Faculty of Engineering, McGill University [University]', 'Canada Foundation for Innovation [Foundation]', 'Fisheries and Oceans Canada [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Faculty of Engineering, McGill University [University]', 'Canada Foundation for Innovation [Foundation]', 'Fonds de Recherche du Qu?bec - Nature et Technologies [Company]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Canadian Institutes of Health Research [Unknown]', 'Canada Foundation for Innovation [Foundation]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]']"
"Bayer, Timm","Geomicrobiology, Center for Applied Geosciences, University of Tuebingen, 72076 Tuebingen, Germany",['Deutsche Forschungsgemeinschaft [Unknown]']
"Bayer, Timm","Geomicrobiology, Department of Geosciences, University of Tuebingen, 72076 Tuebingen, Germany","['Biological and Environmental Research [Unknown]', 'Deutsche Forschungsgemeinschaft [Unknown]', 'National Institute of General Medical Sciences [University]']"
"Baygi, Sadjad Fakouri","Clarkson University, Department of Chemical and Biomolecular Engineering, 8 Clarkson Avenue, Potsdam, New York 13699, United States","['U.S. Environmental Protection Agency [Government]', 'Wisconsin Department of Health Services [Government]']"
"Bayle, Simon","Université Côte d’Azur, CNRS, ICN, 06108 Nice, France; Synchrotron SOLEIL, L’Orme des Merisiers, Départementale 128, F-91190 Saint-Aubin, France; CEA, DAM, DIF, F-91297 Arpajon, France","['Agence Nationale de la Recherche [Unknown]', ""Commissariat ? l'?nergie Atomique et aux ?nergies Alternatives [Unknown]"", 'Synchrotron SOLEIL [Unknown]', ""Universit? C?te d'Azur [University]""]"
"Bayless, Amanda L.","National Institute of Standards and Technology, Hollings Marine Laboratory, 331 Fort Johnson Road, Charleston, South Carolina 29412, United States",['U.S. Environmental Protection Agency [Government]']
"Baylis, Katherine","Department of Agricultural & Consumer Economics, University of Illinois at Urbana−Champaign, 1301 W. Gregory Dr., Urbana, Illinois 61801, United States","['Division of Graduate Education [Unknown]', 'Center for Advanced Study, University of Illinois at Urbana-Champaign [University]', 'University of Illinois at Urbana-Champaign [University]', 'Social and Behavioral Science Research Initiative, University of Illinois at Urbana-Champaign [University]', 'Institute for Sustainability, Energy, and Environment, University of Illinois at Urbana-Champaign [University]', 'Campus Research Board, University of Illinois at Urbana-Champaign [University]']"
"Baynes, Alice","Institute of Environment, Health and Societies, Brunel University London, Uxbridge, Middlesex UB8 3PH, U.K.",['Research Councils UK [Unknown]']
"Baytar, Orhan","Department of Chemical Engineering, Siirt University, Siirt, Turkey",['Not Found [Unknown]']
"Bayuseno, A. P.","Department of Mechanical Engineering, Diponegoro University, Semarang, Indonesia","['Diponegoro University [University]', 'world-class university research [University]']"
"Bazant, Martin Z.","Department of Chemical Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, United States; Department of Mathematics, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139, United States",['Basic Energy Sciences [Unknown]']
"Bazargan, Alireza","School of Environment, College of Engineering, University of Tehran, Tehran, Iran",['Not Found [Unknown]']
"Bazarkina, Elena F.","The Rossendorf Beamline at ESRF, The European Synchrotron, CS 40220, 38043 Grenoble Cedex 9, France; Institute of Resource Ecology, Helmholtz-Zentrum Dresden-Rossendorf, Bautzner Landstraβe 400, 01328 Dresden, Germany","['German Academic Exchange Service [Unknown]', 'European Synchrotron Radiation Facility [Unknown]', 'Helmholtz Recruiting Initiative [Unknown]', 'GFZ Discovery Fund [Unknown]']"
"Bazina, Lila","Department of Environmental and Occupational Health and Justice; School of Public Health, Rutgers University; Nanoscience and Advanced Materials Center, Environmental and Occupational Health Sciences Institute; Rutgers University","['National Institute of Environmental Health Sciences [University]', 'Rutgers, The State University of New Jersey [University]', 'Harvard University [University]', 'National Heart, Lung, and Blood Institute [Unknown]']"
"Bazzo, Fernando Previato","Academical Department of Environmental, Federal University of Technology, Campo Mourão, Brazil",['Fundação Araucária [Unknown]']
"Be, Nicholas A.","Physical and Life Sciences Directorate, Lawrence Livermore National Laboratory, Livermore, California 94550, United States",['University of California [University]']
"Beach, Daniel G.","Biotoxin Metrology, National Research Council Canada, 1411 Oxford Street, Halifax, Nova Scotia B3H 3Z1, Canada",['Not Found [Unknown]']
"Beach, Mark W.","Safety & Construction R&D, DuPont, Midland, Michigan 48642, United States",['Not Found [Unknown]']
"Beak, Douglas G.","U.S. Environmental Protection Agency, Center for Environmental Solutions and Emergency Response, Groundwater Characterization and Remediation Division, 919 Kerr Research Drive, Ada, Oklahoma 74820, United States",['Not Found [Unknown]']
"Beal, Samuel A.","U.S. Army ERDC-CRREL, Hanover, New Hampshire 03755-1290, United States","['Strategic Environmental Research and Development Program [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]']"
"Beam, Jeremiah","Los Alamos National Laboratory, 1400 University Drive, Carlsbad, New Mexico 88220, United States","['Oak Ridge Institute for Science and Education [Unknown]', 'Arthur J. Schmitt Foundation [Foundation]', 'U.S. Department of Energy [Government]']"
"Beam, Richard","Pennsylvania Department of Environmental Protection, Bureau of Abandoned Mine Reclamation, 286 Industrial Park Rd, Ebensburg, Pennsylvania 15931, United States","['Pennsylvania State University [University]', 'U.S. Department of Energy [Government]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'URS Energy and Construction, Inc. [Company]']"
"Beard, Dylan B.","School of Geography, Earth and Environmental Sciences, University of Plymouth, Plymouth PL4 8AA, U.K.","['European Commission [Unknown]', 'Narodowe Centrum Nauki [Unknown]']"
"Bearden, Daniel W.","National Institute of Standards and Technology, Hollings Marine Laboratory, 331 Fort Johnson Road, Charleston, South Carolina 29412, United States",['U.S. Environmental Protection Agency [Government]']
"Beattie, Rachelle E.","Department of Biological Sciences, Marquette University, Milwaukee, Wisconsin 53233, United States","['Marquette University [University]', 'National Institutes of Health [Government]', 'Division of Environmental Biology [Unknown]', 'U.S. Department of Agriculture [Government]', 'National Institute of Environmental Health Sciences [University]', 'Directorate for Biological Sciences [Unknown]', 'Marquette University [University]']"
"Beatto, Thainá Godoy","Faculdade de Química, Centro de Ciências Exatas, Ambientais e de Tecnologias, Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS), Campinas, Brasil","['CAPES [Unknown]', 'São Paulo Research Foundation [Foundation]']"
"Beatty, Danielle N.","Materials Research Laboratory, MIT, Cambridge, Massachusetts 02139, United States",['National Science Foundation [Foundation]']
"Beaudouin, Rémy","Institut national de l’environnement industriel et des risques (INERIS), Verneuil-en-Halatte 60550, France","['H2020 Health [Unknown]', 'Horizon 2020 Framework Programme [Unknown]', 'European Federation of Pharmaceutical Industries and Associations [Company]']"
"Beaudry, Megan","Daicel Arbor Biosciences, Ann Arbor, Michigan 30606, United States","['City of Calgary [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Alberta Innovates [Unknown]']"
"Beaugelin-Seiller, Karine","Institut de Radioprotection et de Sûreté Nucléaire, PSE-ENV, SRTE, St Paul les Durance 13115, France",['International Committee of Radiological Protection [Unknown]']
"Beaumont, Nicola","Plymouth Marine Laboratory, Prospect Place, West Hoe, Plymouth PL1 3DH, U.K.",['Natural Environment Research Council [Unknown]']
"Beausoleil, Claire","ANSES, Risk Assessment Department, 14 rue Pierre et Marie Curie, 94701 Maisons-Alfort, France","['Fonds National de la Recherche Luxembourg [Unknown]', ""Agence Nationale de Sécurité Sanitaire de l'Alimentation, de l'Environnement et du Travail [Unknown]""]"
"Becagli, Silvia","Department of Chemistry “Ugo Schiff”, University of Florence, Via della Lastruccia 3, Sesto Fiorentino 50019, Italy; National Research Council of Italy, Institute of Polar Sciences (CNR-ISP), Via Torino 155, Venice-Mestre 30172, Italy",['Natural Environment Research Council [Unknown]']
"Becanova, Jitka","Graduate School of Oceanography, University of Rhode Island, Horn Building 118, 215 South Ferry Road, Narragansett, Rhode Island 02882, United States","['National Institute of Environmental Health Sciences [University]', 'National Institute of Environmental Health Sciences [University]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'National Institute of Environmental Health Sciences [University]', 'U.S. Department of Defense [Government]', 'U.S. Geological Survey [Unknown]', 'National Institute of Environmental Health Sciences [University]', 'U.S. Geological Survey [Unknown]']"
"Beccia, Maria Rosa","Université Côte d’Azur, CNRS, ICN, 06108 Nice, France","[""Commissariat ? l'?nergie Atomique et aux ?nergies Alternatives [Unknown]"", 'Agence Nationale de la Recherche [Unknown]', ""Commissariat ? l'?nergie Atomique et aux ?nergies Alternatives [Unknown]"", 'Synchrotron SOLEIL [Unknown]', ""Universit? C?te d'Azur [University]""]"
"Becerril-García, Edgar E.","Pelagios-Kakunjá A.C., Sinaloa 1540, Col. Las Garzas, 23070 La Paz, Baja California Sur, México; Instituto Politécnico Nacional, Centro Interdisciplinario de Ciencias Marinas, Av. IPN s/n., 23096 La Paz, Baja California Sur, México","['Agence Nationale de la Recherche [Unknown]', 'Instituto Polit?cnico Nacional [University]', 'Annenberg Foundation [Foundation]', 'Fins Attached Marine Research and Conservation [Unknown]', 'International Community Foundation [Foundation]', 'Pfleger Institute of Environmental Research [University]', 'Shark Diver [Unknown]', 'The Watermen Project [Unknown]', 'Alianza WWF - Fundaci?n Telmex-Telcel [Unknown]']"
"Bech, Claus","Norwegian University of Science and Technology (NTNU), Trondheim 7491, Norway","['Agence Nationale de la Recherche [Unknown]', 'Fondation BNP Paribas [Unknown]', 'Institut Polaire Fran?ais Paul Emile Victor [Unknown]']"
"Bechle, Matthew J.","Department of Civil & Environmental Engineering, University of Washington, 201 More Hall, Seattle 98195, Washington, United States","['Environmental Protection Agency [Government]', 'Deutsche Forschungsgemeinschaft [Unknown]']"
"Bechmann, Ingo","Institute of Anatomy, University of Leipzig, 04103 Leipzig, Germany",['Not Found [Unknown]']
"Bechtel, Carson","Environmental Engineering Department, Montana Technological University, Butte Montana 59701, United States","['Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'Army Research Laboratory [Unknown]']"
"Bechtold, Emily K.",Department of Soil and Crop Sciences; Colorado State University,"['National Institute of Food and Agriculture [University]', 'National Science Foundation [Foundation]', 'Division of Environmental Biology [Unknown]']"
